Welcome to the profile statistics browser.
cProfiled.rmm.pool% cProfiled.rmm.pool% Wed May 11 16:21:45 2022    cProfiled.rmm.pool

         11575143 function calls (11544055 primitive calls) in 75.363 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    35879    0.010    0.000    0.011    0.000 {method 'extend' of 'list' objects}
     5727    0.010    0.000    0.043    0.000 <__array_function__ internals>:2(result_type)
    44331    0.010    0.000    0.010    0.000 {method 'rstrip' of 'str' objects}
6359/6331    0.010    0.000    0.020    0.000 {built-in method builtins.any}
    18651    0.010    0.000    0.010    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        4    0.010    0.003    0.010    0.003 {built-in method posix.read}
     3792    0.010    0.000    0.061    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/emcee/moves/de.py:47(<listcomp>)
     5712    0.010    0.000    0.012    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/__init__.py:380(<listcomp>)
       44    0.010    0.000    0.049    0.001 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numba/core/typeconv/castgraph.py:92(propagate)
     9006    0.010    0.000    0.010    0.000 {method 'expandtabs' of 'str' objects}
     5712    0.010    0.000    0.014    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/_core/_gufuncs.py:303(<listcomp>)
    10547    0.010    0.000    0.017    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/_core/syncdetect.py:32(_declare_synchronize)
    40407    0.010    0.000    0.010    0.000 {method 'keys' of 'dict' objects}
     3808    0.010    0.000    0.234    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/_statistics/order.py:47(amax)
    24442    0.009    0.000    0.009    0.000 {built-in method builtins.min}
    16307    0.009    0.000    0.019    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/sre_parse.py:254(get)
    10519    0.009    0.000    0.365    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
     2305    0.009    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
